年,週,就診類別,年齡別,縣市,流感及其所致肺炎健保就診人次,健保就診總人次,縣市別代碼
2016,01,住院,0~2,宜蘭縣,1,34,10002
2016,01,住院,0~2,苗栗縣,0,5,10005
2016,01,住院,0~2,彰化縣,3,71,10007
2016,01,住院,0~2,南投縣,0,7,10008
2016,01,住院,0~2,雲林縣,1,14,10009
2016,01,住院,0~2,嘉義縣,0,4,10010
2016,01,住院,0~2,屏東縣,0,5,10013
2016,01,住院,0~2,台東縣,0,1,10014
2016,01,住院,0~2,花蓮縣,0,8,10015
2016,01,住院,0~2,基隆市,0,8,10017
2016,01,住院,0~2,新竹市,1,24,10018
2016,01,住院,0~2,台北市,3,149,63000
2016,01,住院,0~2,高雄市,1,34,64000
2016,01,住院,0~2,新北市,1,53,65000
2016,01,住院,0~2,台中市,3,91,66000
2016,01,住院,0~2,台南市,0,20,67000
2016,01,住院,0~2,桃園市,2,42,68000
2016,01,住院,13~15,宜蘭縣,3,11,10002
2016,01,住院,13~15,新竹縣,0,1,10004
2016,01,住院,13~15,苗栗縣,1,6,10005
2016,01,住院,13~15,彰化縣,0,15,10007
2016,01,住院,13~15,南投縣,2,4,10008
2016,01,住院,13~15,雲林縣,0,1,10009
2016,01,住院,13~15,嘉義縣,0,4,10010
2016,01,住院,13~15,屏東縣,0,1,10013
2016,01,住院,13~15,花蓮縣,0,1,10015
2016,01,住院,13~15,新竹市,0,4,10018
2016,01,住院,13~15,台北市,2,54,63000
2016,01,住院,13~15,高雄市,1,16,64000
2016,01,住院,13~15,新北市,0,5,65000
2016,01,住院,13~15,台中市,2,15,66000
2016,01,住院,13~15,台南市,0,3,67000
2016,01,住院,13~15,桃園市,0,3,68000
2016,01,住院,16~18,宜蘭縣,1,8,10002
2016,01,住院,16~18,新竹縣,0,4,10004
2016,01,住院,16~18,苗栗縣,0,8,10005
2016,01,住院,16~18,彰化縣,1,20,10007
2016,01,住院,16~18,南投縣,0,2,10008
2016,01,住院,16~18,雲林縣,0,6,10009
2016,01,住院,16~18,嘉義縣,0,4,10010
2016,01,住院,16~18,屏東縣,0,5,10013
2016,01,住院,16~18,花蓮縣,0,4,10015
2016,01,住院,16~18,基隆市,0,2,10017
2016,01,住院,16~18,新竹市,0,9,10018
2016,01,住院,16~18,台北市,1,64,63000
2016,01,住院,16~18,高雄市,0,12,64000
2016,01,住院,16~18,新北市,1,11,65000
2016,01,住院,16~18,台中市,4,30,66000
2016,01,住院,16~18,台南市,0,7,67000
2016,01,住院,16~18,桃園市,0,10,68000
2016,01,住院,19~24,宜蘭縣,0,11,10002
2016,01,住院,19~24,新竹縣,0,8,10004
2016,01,住院,19~24,苗栗縣,1,21,10005
2016,01,住院,19~24,彰化縣,2,50,10007
2016,01,住院,19~24,南投縣,0,9,10008
2016,01,住院,19~24,雲林縣,0,21,10009
2016,01,住院,19~24,嘉義縣,0,5,10010
2016,01,住院,19~24,屏東縣,0,15,10013
2016,01,住院,19~24,花蓮縣,1,13,10015
2016,01,住院,19~24,基隆市,0,3,10017
2016,01,住院,19~24,新竹市,0,29,10018
2016,01,住院,19~24,嘉義市,0,4,10020
2016,01,住院,19~24,台北市,0,160,63000
2016,01,住院,19~24,高雄市,0,82,64000
2016,01,住院,19~24,新北市,0,48,65000
2016,01,住院,19~24,台中市,0,111,66000
2016,01,住院,19~24,台南市,0,37,67000
2016,01,住院,19~24,桃園市,0,29,68000
2016,01,住院,25~64,宜蘭縣,0,255,10002
